abiilities,abilities
temporiser,temporizer
temporises,temporizes
tenderised,tenderized
tenderiser,tenderizer
tenderises,tenderizes
tenotomise,tenotomize
terrorised,terrorized
terroriser,terrorizer
terrorises,terrorizes
tetanising,tetanizing
theologise,theologize
theorisers,theorizers
theorising,theorizing
thermalise,thermalize
totalising,totalizing
traumatise,traumatize
trichinise,trichinize
trivialise,trivialize
tyrannised,tyrannized
tyranniser,tyrannizer
tyrannises,tyrannizes
unbaptised,unbaptized
unionisers,unionizers
unionising,unionizing
unrealised,unrealized
unutilised,unutilized
urbanising,urbanizing
utilisable,utilizable
vagotomise,vagotomize
valorising,valorizing
vandalised,vandalized
vandalises,vandalizes
vaporisers,vaporizers
vaporising,vaporizing
verbalised,verbalized
verbalises,verbalizes
vernalised,vernalized
vernalises,vernalizes
victimised,victimized
victimiser,victimizer
victimises,victimizes
virilising,virilizing
visualised,visualized
visualiser,visualizer
visualises,visualizes
vitalisers,vitalizers
vitalising,vitalizing
vitaminise,vitaminize
vitriolise,vitriolize
vocalisers,vocalizers
vocalising,vocalizing
volatilise,volatilize
volcanised,volcanized
vulcanised,vulcanized
vulcaniser,vulcanizer
vulcanises,vulcanizes
vulgarised,vulgarized
vulgariser,vulgarizer
vulgarises,vulgarizes
westernise,westernize
winterised,winterized
winterises,winterizes
womanisers,womanizers
womanising,womanizing
accessorise,accessorize
acclimatise,acclimatize
achromatise,achromatize
actualising,actualizing
aerosolised,aerosolized
aerosolises,aerosolizes
aggrandised,aggrandized
aggrandiser,aggrandizer
aggrandises,aggrandizes
alcoholised,alcoholized
alcoholises,alcoholizes
alkalinised,alkalinized
alkalinises,alkalinizes
allegorised,allegorized
alphabetise,alphabetize
aluminising,aluminizing
americanise,americanize
amortisable,amortizable
analogising,analogizing
anatomising,anatomizing
anesthetise,anesthetize
anglicising,anglicizing
annualising,annualizing
anodisation,anodization
antagonised,antagonized
antagonises,antagonizes
anthologise,anthologize
apologisers,apologizers
apologising,apologizing
apostatised,apostatized
apostatises,apostatizes
apotheosise,apotheosize
arithmetise,arithmetize
aromatising,aromatizing
arterialise,arterialize
atomisation,atomization
atropinised,atropinized
atropinises,atropinizes
authorisers,authorizers
authorising,authorizing
automatised,automatized
automatises,automatizes
autotomised,autotomized
autotomises,autotomizes
axiomatised,axiomatized
axiomatises,axiomatizes
bacterising,bacterizing
balkanising,balkanizing
barbarising,barbarizing
bastardised,bastardized
bastardises,bastardizes
bestialised,bestialized
bestialises,bestializes
bitumenised,bitumenized
bowdlerised,bowdlerized
bowdlerises,bowdlerizes
brutalising,brutalizing
burglarised,burglarized
burglarises,burglarizes
cannibalise,cannibalize
capitalised,capitalized
capitaliser,capitalizer
capitalises,capitalizes
capsulising,capsulizing
caramelised,caramelized
caramelises,caramelizes
carbolising,carbolizing
carbonisers,carbonizers
carbonising,carbonizing
carburising,carburizing
cartelising,cartelizing
catabolised,catabolized
catabolises,catabolizes
catechisers,catechizers
catechising,catechizing
categorised,categorized
categoriser,categorizer
categorises,categorizes
catheterise,catheterize
catholicise,catholicize
cauterising,cauterizing
centralised,centralized
centraliser,centralizer
centralises,centralizes
channelised,channelized
channelises,channelizes
chaptalised,chaptalized
chattelised,chattelized
chattelises,chattelizes
cicatrisers,cicatrizers
cicatrising,cicatrizing
cinchonised,cinchonized
cinchonises,cinchonizes
circularise,circularize
civilianise,civilianize
civilisable,civilizable
classicised,classicized
cocainising,cocainizing
columnising,columnizing
communalise,communalize
communising,communizing
computerise,computerize
concertised,concertized
concertises,concertizes
concretised,concretized
cretinising,cretinizing
criticisers,criticizers
criticising,criticizing
crystalised,crystalized
crystalises,crystalizes
crystallise,crystallize
customisers,customizers
customising,customizing
decarbonise,decarbonize
decarburise,decarburize
decartelise,decartelize
decimalised,decimalized
decimalises,decimalizes
decolonised,decolonized
decolonises,decolonizes
decolorised,decolorized
deemphasise,deemphasize
defeminised,defeminized
defeminises,defeminizes
dehumanised,dehumanized
dehumanises,dehumanizes
dehypnotise,dehypnotize
delegalised,delegalized
delegalises,delegalizes
delocalised,delocalized
demagnetise,demagnetize
demobilised,demobilized
demobilises,demobilizes
democratise,democratize
demonetised,demonetized
demonetises,demonetizes
demoralised,demoralized
demoraliser,demoralizer
demoralises,demoralizes
denarcotise,denarcotize
deodorisers,deodorizers
deodorising,deodorizing
deoxidisers,deoxidizers
deoxidising,deoxidizing
depolarised,depolarized
depolariser,depolarizer
depolarises,depolarizes
desalinised,desalinized
desalinises,desalinizes
desensitise,desensitize
desexualise,desexualize
destabilise,destabilize
detribalise,detribalize
devirginise,devirginize
devitalised,devitalized
devitalises,devitalizes
devocalised,devocalized
diabolising,diabolizing
dialogising,dialogizing
dichotomise,dichotomize
digitalised,digitalized
digitalises,digitalizes
disorganise,disorganize
dogmatisers,dogmatizers
dogmatising,dogmatizing
dramatisers,dramatizers
dramatising,dramatizing
economisers,economizers
economising,economizing
ecphorising,ecphorizing
elasticised,elasticized
elasticises,elasticizes
emblematise,emblematize
empathising,empathizing
emphasising,emphasizing
enigmatised,enigmatized
enolisation,enolization
enterprised,enterprized
enterprises,enterprizes
epithelised,epithelized
epithelises,epithelizes
epitomisers,epitomizers
epitomising,epitomizing
eroticising,eroticizing
erotisation,erotization
eternalised,eternalized
etherealise,etherealize
etymologise,etymologize
euhemerised,euhemerized
euphemisers,euphemizers
euphemising,euphemizing
evangelised,evangelized
evangeliser,evangelizer
evangelises,evangelizes
extemporise,extemporize
exteriorise,exteriorize
externalise,externalize
factorising,factorizing
familiarise,familiarize
fanaticised,fanaticized
fanaticises,fanaticizes
fantasising,fantasizing
federalised,federalized
federalises,federalizes
fertilisers,fertilizers
fertilising,fertilizing
feudalising,feudalizing
fistulising,fistulizing
fletcherise,fletcherize
fluoridised,fluoridized
fluoridises,fluoridizes
formalinise,formalinize
formalisers,formalizers
formalising,formalizing
formolising,formolizing
fossilising,fossilizing
fractionise,fractionize
fragmentise,fragmentize
fraternised,fraternized
fraterniser,fraternizer
fraternises,fraternizes
galvanisers,galvanizers
galvanising,galvanizing
gelatinised,gelatinized
gelatiniser,gelatinizer
gelatinises,gelatinizes
generalised,generalized
generaliser,generalizer
generalises,generalizes
geologising,geologizing
geometrised,geometrized
germanisers,germanizers
germanising,germanizing
ghettoising,ghettoizing
glamorising,glamorizing
globalising,globalizing
gnosticised,gnosticized
gnosticiser,gnosticizer
gormandised,gormandized
gormandiser,gormandizer
gormandises,gormandizes
gothicising,gothicizing
gothisisers,gothisizers
gothisising,gothisizing
grangerised,grangerized
grangeriser,grangerizer
graphitised,graphitized
gutturalise,gutturalize
harmonisers,harmonizers
harmonising,harmonizing
heathenised,heathenized
heparinised,heparinized
heparinises,heparinizes
homogenised,homogenized
homogeniser,homogenizer
homogenises,homogenizes
homologised,homologized
homologiser,homologizer
homologises,homologizes
hospitalise,hospitalize
hybridisers,hybridizers
hybridising,hybridizing
hydrogenise,hydrogenize
hyperbolise,hyperbolize
hypnotising,hypnotizing
hypostatise,hypostatize
hypothesise,hypothesize
ideologised,ideologized
ideologises,ideologizes
idolatrised,idolatrized
idolatriser,idolatrizer
idolisation,idolization
illegalised,illegalized
illegalises,illegalizes
immobilised,immobilized
immobiliser,immobilizer
immobilises,immobilizes
immortalise,immortalize
initialised,initialized
initialiser,initializer
initialises,initializes
interiorise,interiorize
internalise,internalize
ionisations,ionizations
iridisation,iridization
isochronise,isochronize
isomerising,isomerizing
italianised,italianized
italicising,italicizing
itemisation,itemization
jargonising,jargonizing
jeopardised,jeopardized
jeopardises,jeopardizes
journalised,journalized
journaliser,journalizer
journalises,journalizes
judicialise,judicialize
keratinised,keratinized
keratinises,keratinizes
kjeldahlise,kjeldahlize
labialising,labializing
laicisation,laicization
legitimised,legitimized
legitimiser,legitimizer
legitimises,legitimizes
lemmatising,lemmatizing
lexicalised,lexicalized
liberalised,liberalized
liberaliser,liberalizer
liberalises,liberalizes
libidinised,libidinized
libidinises,libidinizes
linearising,linearizing
lionisation,lionization
liquidisers,liquidizers
liquidising,liquidizing
listerising,listerizing
lithotomise,lithotomize
lobotomised,lobotomized
lobotomises,lobotomizes
luteinising,luteinizing
lyophilised,lyophilized
lyophiliser,lyophilizer
lyophilises,lyophilizes
lysogenised,lysogenized
lysogenises,lysogenizes
macadamised,macadamized
macadamises,macadamizes
machinising,machinizing
magnetisers,magnetizers
magnetising,magnetizing
mainprising,mainprizing
marbleising,marbleizing
marginalise,marginalize
martyrising,martyrizing
masculinise,masculinize
materialise,materialize
mechanisers,mechanizers
mechanising,mechanizing
mediatising,mediatizing
memorialise,memorialize
mendelising,mendelizing
mercerising,mercerizing
merchandise,merchandize
mesmerisers,mesmerizers
mesmerising,mesmerizing
metabolised,metabolized
metabolises,metabolizes
metastasise,metastasize
methodising,methodizing
metricising,metricizing
militarised,militarized
militarises,militarizes
mineralised,mineralized
mineralises,mineralizes
miniaturise,miniaturize
modernisers,modernizers
modernising,modernizing
modularised,modularized
modularises,modularizes
moisturised,moisturized
moisturiser,moisturizer
moisturises,moisturizes
monopolised,monopolized
monopoliser,monopolizer
monopolises,monopolizes
morphinised,morphinized
morphinises,morphinizes
narcotising,narcotizing
nationalise,nationalize
naturalised,naturalized
naturalises,naturalizes
necrotising,necrotizing
neologising,neologizing
nesslerised,nesslerized
nesslerises,nesslerizes
neurologise,neurologize
neutralised,neutralized
neutraliser,neutralizer
neutralises,neutralizes
nicotinised,nicotinized
nicotinises,nicotinizes
nitrogenise,nitrogenize
normalising,normalizing
operatising,operatizing
organisable,organizable
ostracising,ostracizing
oxidisation,oxidization
oxygenising,oxygenizing
ozonisation,ozonization
palatalised,palatalized
palletising,palletizing
panegyrised,panegyrized
parabolised,parabolized
parallelise,parallelize
parasitised,parasitized
parasitises,parasitizes
pasteurised,pasteurized
pasteuriser,pasteurizer
pasteurises,pasteurizes
patronisers,patronizers
patronising,patronizing
pauperising,pauperizing
pectisation,pectization
pelletising,pelletizing
peptisation,peptization
peptonising,peptonizing
peritonised,peritonized
peritonises,peritonizes
personalise,personalize
phagocytise,phagocytize
phosphatise,phosphatize
phosphorise,phosphorize
plagiarised,plagiarized
plagiariser,plagiarizer
plagiarises,plagiarizes
plasticised,plasticized
plasticiser,plasticizer
plasticises,plasticizes
platinising,platinizing
pluralising,pluralizing
pneumatised,pneumatized
poeticising,poeticizing
politicised,politicized
politicises,politicizes
polymerised,polymerized
polymerises,polymerizes
popularised,popularized
populariser,popularizer
popularises,popularizes
preconising,preconizing
premunising,premunizing
pressurised,pressurized
pressuriser,pressurizer
pressurises,pressurizes
prioritised,prioritized
prioritises,prioritizes
privatising,privatizing
proselytise,proselytize
publicising,publicizing
pulverising,pulverizing
radicalised,radicalized
radicalises,radicalizes
randomising,randomizing
rationalise,rationalize
realisation,realization
rebaptising,rebaptizing
recognisers,recognizers
recognising,recognizing
recolonised,recolonized
recolonises,recolonizes
reemphasise,reemphasize
regalvanise,regalvanize
regularised,regularized
regulariser,regularizer
regularises,regularizes
reharmonise,reharmonize
rehumanised,rehumanized
relativised,relativized
remonetised,remonetized
remonetises,remonetizes
reorganised,reorganized
reorganiser,reorganizer
reorganises,reorganizes
reutilising,reutilizing
revalorised,revalorized
revalorises,revalorizes
revitalised,revitalized
revitalises,revitalizes
rhapsodised,rhapsodized
rhapsodises,rhapsodizes
ritualising,ritualizing
roentgenise,roentgenize
romanticise,romanticize
routinising,routinizing
rubberising,rubberizing
ruggedising,ruggedizing
salicylised,salicylized
salicylises,salicylizes
saucerising,saucerizing
scandalised,scandalized
scandaliser,scandalizer
scandalises,scandalizes
schematised,schematized
schismatise,schismatize
scrutinised,scrutinized
scrutiniser,scrutinizer
scrutinises,scrutinizes
sectionised,sectionized
sectionises,sectionizes
secularised,secularized
seculariser,secularizer
secularises,secularizes
sensitisers,sensitizers
sensitising,sensitizing
sensualised,sensualized
sensualises,sensualizes
serialising,serializing
sermonising,sermonizing
severalised,severalized
severalises,severalizes
sexualising,sexualizing
sheradising,sheradizing
signalising,signalizing
singularise,singularize
skeletonise,skeletonize
slenderised,slenderized
slenderises,slenderizes
socialisers,socializers
socialising,socializing
solemnising,solemnizing
soliloquise,soliloquize
solmisation,solmization
solubilised,solubilized
solubilises,solubilizes
sovietising,sovietizing
specialised,specialized
specialises,specializes
specificise,specificize
stabilisers,stabilizers
stabilising,stabilizing
standardise,standardize
sterilisers,sterilizers
sterilising,sterilizing
stigmatised,stigmatized
stigmatiser,stigmatizer
stigmatises,stigmatizes
stylisation,stylization
stylopising,stylopizing
subisidiser,subisidizer
subsidising,subsidizing
subtilising,subtilizing
suburbanise,suburbanize
sulfurising,sulfurizing
sulphurised,sulphurized
sulphurises,sulphurizes
summarising,summarizing
symbolising,symbolizing
symmetrised,symmetrized
sympathised,sympathized
sympathiser,sympathizer
sympathises,sympathizes
synchronise,synchronize
syncretised,syncretized
synopsising,synopsizing
synthesised,synthesized
synthesiser,synthesizer
synthesises,synthesizes
syphilising,syphilizing
systematise,systematize
systemising,systemizing
tantalisers,tantalizers
tantalising,tantalizing
tartarising,tartarizing
tautologise,tautologize
telepathise,telepathize
temporisers,temporizers
temporising,temporizing
tenderisers,tenderizers
tenderising,tenderizing
tenotomised,tenotomized
tenotomises,tenotomizes
terrorising,terrorizing
theologised,theologized
theologiser,theologizer
theologises,theologizes
tranquilise,tranquilize
traumatised,traumatized
traumatises,traumatizes
trichinised,trichinized
trichinises,trichinizes
trivialised,trivialized
trivialises,trivializes
tropicalise,tropicalize
tyrannisers,tyrannizers
tyrannising,tyrannizing
unamortised,unamortized
uncivilised,uncivilized
unitisation,unitization
unmemorised,unmemorized
unorganised,unorganized
unpolarised,unpolarized
utilisation,utilization
vagotomised,vagotomized
vagotomises,vagotomizes
vandalising,vandalizing
vaporisable,vaporizable
vascularise,vascularize
vasectomise,vasectomize
vectorising,vectorizing
verbalising,verbalizing
vernalising,vernalizing
victimisers,victimizers
victimising,victimizing
visualisers,visualizers
visualising,visualizing
vitaminised,vitaminized
vitaminises,vitaminizes
vitriolised,vitriolized
volatilised,volatilized
volatilises,volatilizes
volcanising,volcanizing
vulcanisers,vulcanizers
vulcanising,vulcanizing
vulgarisers,vulgarizers
vulgarising,vulgarizing
westernised,westernized
westernises,westernizes
winterising,winterizing
acclimatised,acclimatized
acclimatiser,acclimatizer
acclimatises,acclimatizes
aerosolising,aerosolizing
aggrandisers,aggrandizers
aggrandising,aggrandizing
alcoholising,alcoholizing
alkalinising,alkalinizing
alkalisation,alkalization
allegorising,allegorizing
alphabetised,alphabetized
alphabetiser,alphabetizer
alphabetises,alphabetizes
americanised,americanized
americanises,americanizes
amortisation,amortization
anaesthetise,anaesthetize
anathematise,anathematize
anesthetised,anesthetized
anesthetises,anesthetizes
antagonising,antagonizing
anthologised,anthologized
anthologises,anthologizes
apostatising,apostatizing
apostrophise,apostrophize
apotheosised,apotheosized
arborisation,arborization
arithmetised,arithmetized
arithmetises,arithmetizes
arterialised,arterialized
arterialises,arterializes
aryanisation,aryanization
atropinising,atropinizing
attitudinise,attitudinize
autoimmunise,autoimmunize
automatising,automatizing
autotomising,autotomizing
axiomatising,axiomatizing
bastardising,bastardizing
bestialising,bestializing
bitumenising,bitumenizing
bowdlerising,bowdlerizing
burglarising,burglarizing
canalisation,canalization
cannibalised,cannibalized
cannibalises,cannibalizes
canonicalise,canonicalize
canonisation,canonization
cantharidise,cantharidize
capitalisers,capitalizers
capitalising,capitalizing
caponisation,caponization
caramelising,caramelizing
catabolising,catabolizing
categorisers,categorizers
categorising,categorizing
catheterised,catheterized
catheterises,catheterizes
catholicised,catholicized
centralisers,centralizers
centralising,centralizing
channelising,channelizing
chaptalising,chaptalizing
characterise,characterize
chattelising,chattelizing
christianise,christianize
cinchonising,cinchonizing
circularised,circularized
circulariser,circularizer
circularises,circularizes
civilianised,civilianized
civilisation,civilization
classicising,classicizing
collectivise,collectivize
colonisation,colonization
communalised,communalized
communalises,communalizes
computerised,computerized
computerises,computerizes
concertising,concertizing
concretising,concretizing
containerise,containerize
contemporise,contemporize
copolymerise,copolymerize
criticisable,criticizable
crystalising,crystalizing
crystallised,crystallized
crystalliser,crystallizer
crystallises,crystallizes
curarisation,curarization
customisable,customizable
decarbonised,decarbonized
decarboniser,decarbonizer
decarbonises,decarbonizes
decarburised,decarburized
decartelised,decartelized
decartelises,decartelizes
decentralise,decentralize
decimalising,decimalizing
decolonising,decolonizing
decolorising,decolorizing
deemphasised,deemphasized
deemphasises,deemphasizes
defeminising,defeminizing
dehumanising,dehumanizing
dehypnotised,dehypnotized
dehypnotises,dehypnotizes
deionisation,deionization
delegalising,delegalizing
delocalising,delocalizing
demagnetised,demagnetized
demagnetiser,demagnetizer
demagnetises,demagnetizes
demilitarise,demilitarize
demineralise,demineralize
demobilising,demobilizing
democratised,democratized
democratises,democratizes
demonetarise,demonetarize
demonetising,demonetizing
demoralisers,demoralizers
demoralising,demoralizing
denarcotised,denarcotized
denarcotises,denarcotizes
denaturalise,denaturalize
denicotinise,denicotinize
denuclearise,denuclearize
depolarisers,depolarizers
depolarising,depolarizing
depoliticise,depoliticize
depolymerise,depolymerize
depressurise,depressurize
depulisation,depulization
desalinising,desalinizing
desensitised,desensitized
desensitiser,desensitizer
desensitises,desensitizes
desexualised,desexualized
desexualises,desexualizes
destabilised,destabilized
destabilises,destabilizes
desulphurise,desulphurize
detribalised,detribalized
devirginised,devirginized
devirginises,devirginizes
devitalising,devitalizing
devocalising,devocalizing
dichotomised,dichotomized
dichotomises,dichotomizes
digitalising,digitalizing
digitisation,digitization
diphthongise,diphthongize
disorganised,disorganized
disorganiser,disorganizer
disorganises,disorganizes
divinisation,divinization
editorialise,editorialize
elasticising,elasticizing
embolisation,embolization
emotionalise,emotionalize
endenisation,endenization
enigmatising,enigmatizing
enterprising,enterprizing
entomologise,entomologize
epithelising,epithelizing
equalisation,equalization
eternalising,eternalizing
eternisation,eternization
etherealised,etherealized
etherisation,etherization
etymologised,etymologized
euhemerising,euhemerizing
evangelisers,evangelizers
evangelising,evangelizing
extemporised,extemporized
extemporiser,extemporizer
extemporises,extemporizes
exteriorised,exteriorized
exteriorises,exteriorizes
externalised,externalized
externalises,externalizes
familiarised,familiarized
familiariser,familiarizer
familiarises,familiarizes
fanaticising,fanaticizing
faradisation,faradization
federalising,federalizing
feminisation,feminization
fertilisable,fertilizable
fictionalise,fictionalize
finalisation,finalization
fletcherised,fletcherized
fletcherises,fletcherizes
fluidisation,fluidization
fluoridising,fluoridizing
focalisation,focalization
formalinised,formalinized
formalinises,formalinizes
fractionised,fractionized
fragmentised,fragmentized
fragmentises,fragmentizes
fraternisers,fraternizers
fraternising,fraternizing
gelatinising,gelatinizing
generalisers,generalizers
generalising,generalizing
geometrising,geometrizing
gnosticisers,gnosticizers
gnosticising,gnosticizing
gormandisers,gormandizers
gormandising,gormandizing
grangerisers,grangerizers
grangerising,grangerizing
graphitising,graphitizing
gutturalised,gutturalized
heathenising,heathenizing
heparinising,heparinizing
hepatisation,hepatization
hominisation,hominization
homogenisers,homogenizers
homogenising,homogenizing
homologising,homologizing
hospitalised,hospitalized
hospitalises,hospitalizes
humanisation,humanization
hydrogenised,hydrogenized
hyperbolised,hyperbolized
hypnotisable,hypnotizable
hypostatised,hypostatized
hypostatises,hypostatizes
hypothesised,hypothesized
hypothesiser,hypothesizer
hypothesises,hypothesizes
idealisation,idealization
ideologising,ideologizing
idolatrisers,idolatrizers
idolatrising,idolatrizing
illegalising,illegalizing
immobilisers,immobilizers
immobilising,immobilizing
immortalised,immortalized
immortaliser,immortalizer
immortalises,immortalizes
immunisation,immunization
indenisation,indenization
initialisers,initializers
initialising,initializing
interiorised,interiorized
internalised,internalized
internalises,internalizes
iridectomise,iridectomize
islamisation,islamization
isochronised,isochronized
italianising,italianizing
itemisations,itemizations
jeopardising,jeopardizing
journalisers,journalizers
journalising,journalizing
judicialised,judicialized
judicialises,judicializes
keratinising,keratinizing
kjeldahlised,kjeldahlized
kjeldahlises,kjeldahlizes
laicisations,laicizations
latinisation,latinization
legalisation,legalization
legitimatise,legitimatize
legitimisers,legitimizers
legitimising,legitimizing
lexicalising,lexicalizing
liberalisers,liberalizers
liberalising,liberalizing
libidinising,libidinizing
linearisable,linearizable
lithotomised,lithotomized
lithotomises,lithotomizes
lobotomising,lobotomizing
localisation,localization
lyophilising,lyophilizing
lysogenising,lysogenizing
macadamising,macadamizing
magnetisable,magnetizable
marginalised,marginalized
marsupialise,marsupialize
masculinised,masculinized
masculinises,masculinizes
materialised,materialized
materialiser,materializer
materialises,materializes
maximisation,maximization
melanisation,melanization
memorialised,memorialized
memorialiser,memorializer
memorialises,memorializes
memorisation,memorization
merchandised,merchandized
merchandises,merchandizes
mercurialise,mercurialize
metabolising,metabolizing
metastasised,metastasized
metastasises,metastasizes
militarising,militarizing
mineralising,mineralizing
miniaturised,miniaturized
miniaturises,miniaturizes
minimisation,minimization
mobilisation,mobilization
modularising,modularizing
moisturisers,moisturizers
moisturising,moisturizing
monetisation,monetization
monopolising,monopolizing
moralisation,moralization
morphinising,morphinizing
motorisation,motorization
nasalisation,nasalization
nationalised,nationalized
nationalises,nationalizes
naturalising,naturalizing
nebulisation,nebulization
nesslerising,nesslerizing
neurologised,neurologized
neurologises,neurologizes
neutralisers,neutralizers
neutralising,neutralizing
nicotinising,nicotinizing
nitrogenised,nitrogenized
nitrogenises,nitrogenizes
noncivilised,noncivilized
notarisation,notarization
novelisation,novelization
opsonisation,opsonization
optimisation,optimization
organisation,organization
overcivilise,overcivilize
overidealise,overidealize
oxidisations,oxidizations
paganisation,paganization
palatalising,palatalizing
panegyrising,panegyrizing
parabolising,parabolizing
parallelised,parallelized
parallelises,parallelizes
parameterise,parameterize
parasitising,parasitizing
parenthesise,parenthesize
particuliser,particulizer
pasteurisers,pasteurizers
pasteurising,pasteurizing
penalisation,penalization
peritonising,peritonizing
personalised,personalized
personalises,personalizes
phagocytised,phagocytized
phagocytises,phagocytizes
philosophise,philosophize
phlebotomise,phlebotomize
phosphatised,phosphatized
phosphorised,phosphorized
phosphorises,phosphorizes
plagiarisers,plagiarizers
plagiarising,plagiarizing
plasticising,plasticizing
polarisation,polarization
politicising,politicizing
polymerising,polymerizing
popularising,popularizing
pressurisers,pressurizers
pressurising,pressurizing
prioritising,prioritizing
propagandise,propagandize
proselytised,proselytized
proselytiser,proselytizer
proselytises,proselytizes
psychologise,psychologize
pulverisable,pulverizable
quantisation,quantization
racemisation,racemization
radicalising,radicalizing
rationalised,rationalized
rationaliser,rationalizer
rationalises,rationalizes
realisations,realizations
recapitalise,recapitalize
recognisable,recognizable
recolonising,recolonizing
reemphasised,reemphasized
reemphasises,reemphasizes
regalvanised,regalvanized
regularising,regularizing
reharmonised,reharmonized
reharmonises,reharmonizes
rehumanising,rehumanizing
relativising,relativizing
remilitarise,remilitarize
remonetising,remonetizing
reorganisers,reorganizers
reorganising,reorganizing
reserpinised,reserpinized
revalorising,revalorizing
revitalising,revitalizing
rhapsodising,rhapsodizing
robotisation,robotization
roentgenised,roentgenized
roentgenises,roentgenizes
romanticised,romanticized
romanticises,romanticizes
ruralisation,ruralization
salicylising,salicylizing
sanitisation,sanitization
satirisation,satirization
scandalisers,scandalizers
scandalising,scandalizing
schematising,schematizing
schismatised,schismatized
schismatises,schismatizes
scrutinisers,scrutinizers
scrutinising,scrutinizing
sectionalise,sectionalize
sectionising,sectionizing
secularisers,secularizers
secularising,secularizing
sensualising,sensualizing
severalising,severalizing
singularised,singularized
skeletonised,skeletonized
slenderising,slenderizing
solarisation,solarization
soliloquised,soliloquized
soliloquiser,soliloquizer
soliloquises,soliloquizes
solubilising,solubilizing
somatisation,somatization
specialising,specializing
specificised,specificized
specificises,specificizes
spiritualise,spiritualize
splenisation,splenization
standardised,standardized
standardiser,standardizer
standardises,standardizes
stigmatising,stigmatizing
suberisation,suberization
subsidisable,subsidizable
suburbanised,suburbanized
sulphurising,sulphurizing
symmetrising,symmetrizing
sympathisers,sympathizers
sympathising,sympathizing
synchronised,synchronized
synchroniser,synchronizer
synchronises,synchronizes
syncretising,syncretizing
synthesisers,synthesizers
synthesising,synthesizing
systematised,systematized
systematiser,systematizer
systematises,systematizes
tenotomising,tenotomizing
tetanisation,tetanization
theologising,theologizing
theorisation,theorization
thymectomise,thymectomize
totalisation,totalization
tranquilised,tranquilized
tranquiliser,tranquilizer
tranquilises,tranquilizes
tranquillise,tranquillize
traumatising,traumatizing
trichinising,trichinizing
trivialising,trivializing
tropicalised,tropicalized
unappetising,unappetizing
unauthorised,unauthorized
unfertilised,unfertilized
unionisation,unionization
universalise,universalize
unmechanised,unmechanized
unpublicised,unpublicized
unrecognised,unrecognized
unsterilised,unsterilized
urbanisation,urbanization
utilisations,utilizations
vagotomising,vagotomizing
valorisation,valorization
vaporisation,vaporization
vascularised,vascularized
vascularises,vascularizes
vasectomised,vasectomized
vasectomises,vasectomizes
virilisation,virilization
vitalisation,vitalization
vitaminising,vitaminizing
vitriolising,vitriolizing
vocalisation,vocalization
volatilising,volatilizing
westernising,westernizing
accessorising,accessorizing
acclimatising,acclimatizing
actualisation,actualization
alphabetisers,alphabetizers
alphabetising,alphabetizing
americanising,americanizing
anaesthetised,anaesthetized
anaesthetises,anaesthetizes
anathematised,anathematized
anathematises,anathematizes
anesthetising,anesthetizing
anglicisation,anglicization
annualisation,annualization
anthologising,anthologizing
antisepticise,antisepticize
apostrophised,apostrophized
apostrophises,apostrophizes
apotheosising,apotheosizing
arithmetising,arithmetizing
aromatisation,aromatization
arterialising,arterializing
attitudinised,attitudinized
attitudinises,attitudinizes
authorisation,authorization
autoimmunised,autoimmunized
autoimmunises,autoimmunizes
axiomatisable,axiomatizable
bacterisation,bacterization
barbarisation,barbarization
brutalisation,brutalization
bureaucratise,bureaucratize
canalisations,canalizations
cancerisation,cancerization
cannibalising,cannibalizing
canonicalised,canonicalized
canonicalises,canonicalizes
canonisations,canonizations
cantharidised,cantharidized
cantharidises,cantharidizes
capsulisation,capsulization
carbonisation,carbonization
carburisation,carburization
cartelisation,cartelization
catechisation,catechization
catheterising,catheterizing
catholicising,catholicizing
cauterisation,cauterization
cephalisation,cephalization
characterised,characterized
characteriser,characterizer
characterises,characterizes
christianised,christianized
christianises,christianizes
cicatrisation,cicatrization
circularisers,circularizers
circularising,circularizing
civilianising,civilianizing
civilisations,civilizations
cocainisation,cocainization
collateralise,collateralize
collectivised,collectivized
collectivises,collectivizes
colonisations,colonizations
commercialise,commercialize
communalising,communalizing
communisation,communization
computerising,computerizing
conceptualise,conceptualize
containerised,containerized
containerises,containerizes
contemporised,contemporized
contextualise,contextualize
copolymerised,copolymerized
copolymerises,copolymerizes
crystallisers,crystallizers
crystallising,crystallizing
customisation,customization
cuticularised,cuticularized
deaminisation,deaminization
decarbonisers,decarbonizers
decarbonising,decarbonizing
decarburising,decarburizing
decartelising,decartelizing
decentralised,decentralized
decentralises,decentralizes
decriminalise,decriminalize
deemphasising,deemphasizing
dehydrogenise,dehydrogenize
dehypnotising,dehypnotizing
deionisations,deionizations
demagnetisers,demagnetizers
demagnetising,demagnetizing
demasculinise,demasculinize
dematerialise,dematerialize
demilitarised,demilitarized
demilitarises,demilitarizes
demineralised,demineralized
demineralises,demineralizes
democratising,democratizing
demonetarised,demonetarized
demythologise,demythologize
denarcotising,denarcotizing
denationalise,denationalize
denaturalised,denaturalized
denaturalises,denaturalizes
denicotinised,denicotinized
denicotinises,denicotinizes
denuclearised,denuclearized
denuclearises,denuclearizes
deodorisation,deodorization
deoxidisation,deoxidization
depancreatise,depancreatize
depersonalise,depersonalize
depoliticised,depoliticized
depoliticises,depoliticizes
depolymerised,depolymerized
depressurised,depressurized
derealisation,derealization
desensitisers,desensitizers
desensitising,desensitizing
